date,daily_new_cases,daily_new_cases
21-sep-20,3657,
22-sep-20,3012,
23-sep-20,4835,
24-sep-20,4941,
25-sep-20,5583,
26-sep-20,5576,
27-sep-20,5754,
28-sep-20,4012,
29-sep-20,3510,
30-sep-20,4590,
01-oct-20,5217,
02-oct-20,5264,
03-oct-20,4930,
04-oct-20,5021,
05-oct-20,3832,
06-oct-20,3417,
07-oct-20,4828,
08-oct-20,4580,
09-oct-20,5300,
10-oct-20,5263,
11-oct-20,4577,
12-oct-20,3175,
13-oct-20,3542,
14-oct-20,4295,
15-oct-20,4056,
16-oct-20,5514,
17-oct-20,6751,
18-oct-20,5447,
19-oct-20,4119,
20-oct-20,3699,
21-oct-20,5788,
22-oct-20,6845,
23-oct-20,6612,
24-oct-20,6604,
25-oct-20,6025,
26-oct-20,4360,
27-oct-20,4166,
28-oct-20,5942,
29-oct-20,5595,
30-oct-20,5948,
31-oct-20,6000,
01-nov-20,6151,
02-nov-20,4430,
03-nov-20,3763,
04-nov-20,5250,
05-nov-20,5225,
06-nov-20,5567,
07-nov-20,5931,
08-nov-20,6810,
09-nov-20,5887,
10-nov-20,4960,
11-nov-20,5746,
12-nov-20,7646,
13-nov-20,5658,
14-nov-20,5558,
15-nov-20,5860,
16-nov-20,3269,
17-nov-20,2874,
18-nov-20,1757,
19-nov-20,3918,
20-nov-20,4472,
21-nov-20,6426,
22-nov-20,6719,
23-nov-20,9187,
24-nov-20,7483,
25-nov-20,10794,
26-nov-20,10335,
27-nov-20,8107,
28-nov-20,12081,
29-nov-20,10008,
30-nov-20,6388,
01-dic-20,6472,
02-dic-20,8819,
03-dic-20,11251,
04-dic-20,11030,
05-dic-20,12127,
06-dic-20,11625,
07-dic-20,7455,
08-dic-20,6399,
09-dic-20,11006,
10-dic-20,11974,
11-dic-20,11897,
12-dic-20,12253,
13-dic-20,12057,
14-dic-20,8608,
15-dic-20,5930,
16-dic-20,11228,
17-dic-20,10297,
18-dic-20,11799,
19-dic-20,12248,
20-dic-20,12129,
21-dic-20,6870,
22-dic-20,5370,
23-dic-20,12511,
24-dic-20,11653,
25-dic-20,12485,
26-dic-20,9679,
27-dic-20,4974,
28-dic-20,6217,
29-dic-20,5996,
30-dic-20,12099,
31-dic-20,12406,
