Country/Region,Mes,Año,Confirmed,Deaths,Recovered
Mexico,mayo,2020,1859,244,1141
Mexico,mayo,2020,633,69,273
Mexico,mayo,2020,1530,283,1027
Mexico,mayo,2020,595,26,371
Mexico,mayo,2020,2328,366,1584
Mexico,mayo,2020,1194,56,825
Mexico,mayo,2020,2930,371,1909
Mexico,mayo,2020,1126,80,807
Mexico,mayo,2020,691,119,393
Mexico,mayo,2020,2601,331,1638
Mexico,mayo,2020,1365,109,872
Mexico,mayo,2020,223,27,146
Mexico,mayo,2020,614,26,412
Mexico,mayo,2020,4097,653,2826
Mexico,mayo,2020,521,31,416
Mexico,mayo,2020,406,54,240
Mexico,mayo,2020,1050,68,543
Mexico,mayo,2020,1170,246,791
Mexico,mayo,2020,18912,1899,13112
Mexico,mayo,2020,816,64,617
Mexico,mayo,2020,100,14,47
Mexico,mayo,2020,217,26,139
Mexico,mayo,2020,1028,85,595
Mexico,mayo,2020,1086,163,689
Mexico,mayo,2020,1192,212,584
Mexico,mayo,2020,1132,102,670
Mexico,mayo,2020,10606,842,8289
Mexico,mayo,2020,1330,115,804
Mexico,mayo,2020,1171,238,712
Mexico,mayo,2020,404,41,239
Mexico,mayo,2020,1120,62,719
Mexico,mayo,2020,964,93,437
Mexico,mayo,2020,2015,251,1212
Mexico,mayo,2020,669,69,298
Mexico,mayo,2020,1580,288,1066
Mexico,mayo,2020,640,26,399
Mexico,mayo,2020,2438,380,1642
Mexico,mayo,2020,1264,63,879
Mexico,mayo,2020,3044,387,1996
Mexico,mayo,2020,1183,82,834
Mexico,mayo,2020,749,121,413
Mexico,mayo,2020,2689,341,1746
Mexico,mayo,2020,1419,110,910
Mexico,mayo,2020,230,27,148
Mexico,mayo,2020,616,26,433
Mexico,mayo,2020,4218,696,2906
Mexico,mayo,2020,533,31,426
Mexico,mayo,2020,429,54,262
Mexico,mayo,2020,1164,69,605
Mexico,mayo,2020,1186,249,823
Mexico,mayo,2020,19682,1963,13900
Mexico,mayo,2020,824,65,635
Mexico,mayo,2020,112,14,50
Mexico,mayo,2020,233,26,142
Mexico,mayo,2020,1054,88,620
Mexico,mayo,2020,1205,168,744
Mexico,mayo,2020,1243,212,638
Mexico,mayo,2020,1180,107,703
Mexico,mayo,2020,11057,846,8730
Mexico,mayo,2020,1368,116,871
Mexico,mayo,2020,1213,236,745
Mexico,mayo,2020,421,42,257
Mexico,mayo,2020,1149,62,756
Mexico,mayo,2020,1001,100,495
Mexico,mayo,2020,2082,257,1278
Mexico,mayo,2020,688,75,332
Mexico,mayo,2020,1609,291,1100
Mexico,mayo,2020,692,36,422
Mexico,mayo,2020,2587,390,1740
Mexico,mayo,2020,1440,69,956
Mexico,mayo,2020,3148,393,2114
