date,2020,2021
31-ene-20,0,50214166
29-feb-20,6,55468908
31-mar-20,7135,67143681
30-abr-20,218313,68734645
31-may-20,1537110,73742685
30-jun-20,4704695,73837242
31-jul-20,10230367,79116214
31-ago-20,16449674,0
30-sep-20,20819580,0
31-oct-20,26017817,0
30-nov-20,30152843,0
31-dic-20,39274405,0
